connectorPartNumber|cavityCount|nonUsedTwo|normalizedPartNumber|viewFile|viewExt|gender|nonUsedSeven|description|repairKitPartNumber|nonUsedTen|nonUsedEleven|isoFile|wireFile
-||||||MALE|||No Data||||
0|||0|||MALE|||||||
0001854|||0001854|||MALE|||||||
0007039|2|GRAY|0007039|0007039|gif|FEMALE||||||7039_iso.gif|7039_wire.gif
000_000_506_123|13|BLACK|000_000_506_123|000_000_506_123|gif|MALE||||||000_000_506_123_iso.gif|000_000_506_123_wire.gif
0015850024|||0015850024||GIF||68064992AA||68064992AA||||
0-0184002-1|2|GRAY|001840021|560381290002|GIF|FEMALE|||05014003AA|||560381290002_iso.gif|0-0184002-1_wire.gif
0039-01-2060|6|NATURAL|0039012060|0039-01-2060|gif|FEMALE||||||0039-01-2060_iso.gif|0039-01-2060_wire.gif
0039-01-3063|6|NATURAL|0039013063|0039-01-3063|gif|MALE||||||0039-01-3063_iso.gif|0039-01-3063_wire.gif
0039014030|3|NA|0039014030|712317350002|GIF|FEMALE|Not Available||||[712317350002.GIF]|712317350002_iso.gif|0039014030_wire.gif
0-0493577-2|10|BLACK|004935772|0-0493577-2|gif|FEMALE|||Not Available|||0-0493577-2_iso.gif|0-0493577-2_wire.gif
005005|16||005005|005005|GIF||Not Available||||||
005005005|2||005005005|005005005|GIF||Not Available||||||
0-0638394-4|12|GREEN|006383944|63839440000|GIF|FEMALE||||||63839440000_iso.gif|0-0638394-4_wire.gif
0065404781|4|BLACK|0065404781|||FEMALE|||||||
0-0965601-3|8|BLACK|009656013|1-1564013-1_965601-3|gif|FEMALE||||||1-1564013-1_965601-3_iso.gif|1-1564013-1_965601-3_wire.gif
009698521|3||009698521|009698521|GIF||Not Available||||||
01-10340-1|||01103401|||MALE|||||||
0/12099/07|10|BLACK|01209907|0_12099_07|gif|FEMALE||||||0_12099_07_iso.gif|949_M220A_GU.gif
0-1241634-3|4|BLACK|012416343|||FEMALE|||||||
0/12911/07|38||01291107|||MALE|||||||2019_4C_M051_WI.gif
0/13005/07|46|BLACK|01300507|0_13005_07|gif|MALE||||||0_13005_07_iso.gif|3D-0_13005.gif
0/13006/07|46|BLACK|01300607|2015-BU-M050|gif|FEMALE||||||2015-BU-M050_iso.gif|
0/13342/06|96|BLACK|01334206|1924779-1_1924939-1|gif|FEMALE|||68148108AA|||1924779-1_1924939-1_iso.gif|1924779-1_1924939-1_wire.gif
0/13549/00|10|NATURAL|01354900|2-2177198-1_1-968562-2|gif|FEMALE|||68156140AA|||2-2177198-1_1-968562-2_iso.gif|2-2177198-1_1-968562-2_wire.gif
0/13550/07|10|BLACK|01355007|0_13550_07|gif|FEMALE|||68156140AA|||0_13550_07_iso.gif|0_13550_07_wire.gif
0/13550/70|10|BLACK|01355070|0_13550_07|gif|FEMALE||||||0_13550_07_iso.gif|0_13550_07_wire.gif
0/13552/02|10|BLUE|01355202|0_13552_02|gif|FEMALE|||68156140AA|||0_13552_02_iso.gif|0_13552_02_wire.gif
0-1355333-3|48|BLACK|013553333|0-1355333-3|gif|FEMALE||||||0-1355333-3_iso.gif|1355333-1_wire.gif
0/13579/07|94|BLACK|01357907|1_928_405_063-067-073-074-069|gif|FEMALE||||||1_928_405_063-067-073-074-069_iso.gif|2015-BU-M182A.gif
0-1379799-1|4|BLACK|013797991|0-1379799-1|GIF|FEMALE|68052585AA||68052585AA||[296761610000.GIF,NO_IMAGE,296767810000.GIF,137979910000.GIF,\\CANT-WEB-001\WWWROOT\DATA\COMP2DC]|0-1379799-1_iso.GIF|0-1379799-1_wire.gif
01393429|2|NA|01393429|0-139342-9|gif|FEMALE||||||0-139342-9_iso.gif|0-139342-9_wire.gif
0-1393429-2|2|BLUE|013934292|0-1393429-2|gif|FEMALE|||68440521AA|||0-1393429-2_iso.gif|0-1393429-2_wire.gif
0-1393436-4_0-1393454-5|28|BLACK|013934364_013934545|0-1393436-4_0-1393454-5|gif|FEMALE|Not Available||68268754AA|||0-1393436-4_0-1393454-5_iso.gif|0-1393436-4_0-1393454-5_wire.gif
0-1393450-5_0-1393454-9|52|BLACK|013934505_013934549|139345050000|gif|FEMALE|Not Available||68268755AA|||0-1393450-5_0-1393454-9_iso.gif|0-1393450-5_0-1393454-9_wire.gif
0-139429-2|2|BLUE|01394292|0-1393429-2|gif|FEMALE||||||0-1393429-2_iso.gif|0-1393429-2_wire.gif
0/14138/87|12|BLACK|01413887|0_14138_87|gif|FEMALE|||68483206AA|||0_14138_87_iso.gif|0_14138_87_wire.gif
0/14189/07|26|BLACK|01418907|0_14189_07|gif|FEMALE|||68305268AA|||0_14189_07_iso.gif|0_14189_07_wire.gif
014191581|6|BLACK|014191581|0141915810000|GIF|FEMALE|Not Available|1X6P GET SOCKET HOUSING ASSEMBLY||Un-Sealed||0141915810000_iso.gif|0-1419158-1_wire.gif
0-1419158-1,8-1419169-3|6|BLACK|014191581,814191693|0141915810000|GIF|FEMALE||||||0141915810000_iso.gif|0-1419158-1_wire.gif
0141915810000|6|BLACK|0141915810000|0141915810000|GIF|FEMALE||||||0141915810000_iso.gif|0-1419158-1_wire.gif
0/14241/07|32|BLACK|01424107|2236047-1_2236048-1|gif|FEMALE||||||2236047-1_2236048-1_iso.gif|2236047-1_2236048-1_wire.gif
0/14242/06|32|GRAY|01424206|0_14242_06|gif|FEMALE||||||0_14242_06_iso.gif|0_14242_06_wire.gif
0/14244/07|||01424407|||MALE|||||||
0/14245/06|||01424506|||MALE|||||||
0/14250/97|32||01425097|1_14250_97|gif|MALE||||||1_14250_97_iso.gif|
0/14381/97|4|BLACK|01438197|0_14381_97|gif|FEMALE||||||0_14381_97_iso.gif|520-D009M_a_BU.gif
014386939|50|BLACK|014386939|143869310000|GIF|FEMALE|Not Available|||||143869310000_iso.gif|4-1438691-7_wire.gif
014388412|34|GRAY|014388412|1438841-2|gif|FEMALE||||||1438841-2_iso.gif|1438841-2_wire.gif
0/14400/87|2|BLACK|01440087|0_14400_87|gif|FEMALE|||TBD 19MP-6|||0_14400_87_iso.gif|0_14400_87_wire.gif
0/14414/07|10|BLACK|01441407|0_14414_07|gif|FEMALE|||TBD 19MP-5|||0_14414_07_iso.gif|0_14414_07_wire.gif
0/14430/03|96|GREEN|01443003|0_14430_03|gif|MALE|||TBD 22 MP|||0_14430_03_iso.gif|0_14430_03_wire.gif
0/14456/87|8|BLACK|01445687|0_14456_87|gif|FEMALE|||68429701AA|||0_14456_87_iso.gif|0_14456_87_wire.gif
0-1452015-2|12|BLACK|014520152|0145201520000|GIF|FEMALE|Not Available|2X6 GET SOCKET HOUSINGW/O CPA|Not Available|Un-Sealed||0145201520000_iso.gif|1452015-2_wire.gif
0-1452299-1|12|BLACK|014522991|0-1452299-1|gif|FEMALE|||Not Available|||0-1452299-1_iso.gif|1452299-1_wire.gif
014523031|12|BLACK|014523031|0-1452303-1|gif|MALE||||||0-1452303-1_iso.gif|1452303-1_wire.gif
0 1452327 1|6|BLACK|014523271|014523271|gif|FEMALE|Not Available|||Sealed||014523271_iso.gif|01452327-1_wire.gif
0-1452587-3|2|NA|014525873|0145258730000|GIF|FEMALE|Not Available|PLUG HOUSING ASM, PITCH 12.7 COAX FAKRA|Not Available|Un-Sealed||0-1452587-3_iso.gif|0-1452587-3_wire.gif
014543353|||014543353|||MALE|||||||
0/14546/87|12|BLACK|01454687|0_14546_87|gif|MALE||||||0_14546_87_iso.gif|0_14546_87_wire.gif
014569831|4|BLACK|014569831|0-1456983-1|gif|FEMALE|Not Available||68490847AA|||0-1456983-1_iso.gif|0-1456983-1_wire.gif
014569833|4|BLACK|014569833|1456983-3|gif|FEMALE||||||1456983-3_iso.gif|1456983-3_wire.gif
0-1456985-3|6|BLACK|014569853|0-1456985-3|gif|FEMALE|||68087927AA|||0-1456985-3_iso.gif|0-1456985-3_wire.gif
0-1456985-4|6|BLACK|014569854|0-1456985-4|gif|FEMALE||||||0-1456985-4_iso.gif|0-1456985-4_wire.gif
0/14683/07|48|BLACK|01468307|0_14683_07|gif|FEMALE||||||0_14683_07_iso.gif|952_M046_GU.gif
01530034Z|0||01530034Z|01530034Z0000|GIF||Not Available|MINI FUSE HOLDER, INLINE|Not Available||||
0-1534191-1|4|BLACK|015341911|0-1534191-1|GIF|MALE|||||||
0-1534705-1|24|YELLOW|015347051|153470510000|GIF|FEMALE|||Not Available|||153470510000_iso.gif|1534705-1_wire.gif
0-1534721-1|36|NA|015347211|153472110001|GIF|FEMALE|Not Available|MQS SOCKET HOUSING||Un-Sealed|[153472110001.GIF,NO_IMAGE]|153472110001_iso.gif|0-1534721-1_wire.gif
015347241|36|YELLOW|015347241|153472410000|GIF|FEMALE|Not Available|||||153472410000_iso.gif|1534724-1_wire.gif
0-1534726-1|12|NA|015347261|153472610000|GIF|FEMALE|Not Available||||[153472610000.GIF,NO_IMAGE]|153472610000_iso.gif|0-1534726-1_wire.gif
0-1534729-1|12|NA|015347291|153472910000|GIF|FEMALE|Not Available||68394490AA||[153472910000.GIF,NO_IMAGE]|153472910000_iso.gif|0-1534729-1_wire.gif
015445512|5|BLACK|015445512|1544551-2|gif|FEMALE||||||1544551-2_iso.gif|1544551-2_wire.gif
0-1563189-1|2|BLACK|015631891|0-1563189-1|gif|FEMALE|Not Available||Not Available|||0-1563189-1_iso.gif|0-1563189-1_wire.gif
015631901|2|BLACK|015631901|0-1563190-1|gif|MALE|Not Available||Not Available|||0-1563190-1_iso.gif|0-1563190-1_wire.gif
0-1564760-1|10|GRAY|015647601|0-1564760-1|gif|FEMALE|Not Available||Not Available||[0156476010000.GIF,NO_IMAGE]|0-1564760-1_iso.gif|0-1564760-1_wire.gif
0-1587127-2|||015871272|||MALE|||||||
01670661_216704421|38|BLACK|01670661_216704421|||FEMALE|||68475555AA||||
0-1674558-1|35|NATURAL|016745581|1674558-1|gif|FEMALE|||68433097AA|||1674558-1_iso.gif|1674558-1_wire.gif
0-1674928-1|35|NATURAL|016749281|1674928-1|gif|FEMALE|||68433095AA|||1674928-1_iso.gif|1674928-1_wire.gif
0-1718878-1|5|BLACK|017188781|0171887810000|GIF|FEMALE|Not Available||68268753AA||[,0171887810000.GIF]|0171887810000_iso.gif|0-1718878-1_wire.gif
01738521|14|NA|01738521|01738521|gif|FEMALE|05183479AA||05183479AA||[560178280002.GIF,]|01738521_iso.gif|01738521_wire.gif
01842016|||01842016|||MALE|||||||
018971682|10|BLACK|018971682|0189716820000|GIF|FEMALE|Not Available|||||0189716820000_iso.gif|4-1897168-2_wire.gif
0-1924117-1|38|BLACK|019241171|0-1924117-1|GIF|FEMALE|Not Available||Not Available||[NO_IMAGE]|0-1924117-1_iso.gif|1924117-4_wire.gif
0-1924119-4|38|NATURAL|019241194|192411940000|GIF|FEMALE|Not Available|NGC HEADER CONNECTOR - INDEX C||Sealed||1-1924119-0_iso.gif|1-1924119-0_wire.gif
0-1924940-1|96|GRAY|019249401|1924940-1|gif|FEMALE|Not Available|||||1924940-1_iso.gif|1924940-1_wire.gif
0-1924944-6|96|BLACK|019249446|1924779-1_1924944-6|gif|FEMALE|||68394498AA|||1924779-1_1924944-6_iso.gif|1924779-1_1924944-6_wire.gif
019249446,19249444|96|BROWN|019249446,19249444|192494460000|gif|FEMALE|||68394498AA|||192494460000_iso.gif|192494460000_wire.gif
020019501|||020019501|||MALE|||||||
02096452|1|NA|02096452|02096452|gif|EYELET||||||02096452_iso.gif|
02096452AB|1|NA|02096452AB|EYELET|gif|EYELET|Not Available|TERMINAL (GROUND EYELET)|Not Available|||EYELET_iso.gif|
020985574|2|BROWN|020985574|2098557-4|gif|FEMALE||||||20985574_iso.gif|2098557-4_wire.gif
020989661|54||020989661|2098966-1|gif|FEMALE|||68335271AA|||2098966-1_iso.gif|0-2098966-1_wire.gif
021-0003|38|BLACK|0210003|021-0003|gif|FEMALE|Not Available|6 MICRO ISO/4 J-CASE MODULE|See Notes|Un-Sealed|[E8000000.GIF,NO_IMAGE]|021-0003_iso.gif|021-0003_wire.gif
0-2177000-1|10|GRAY|021770001|2177000-1|gif|FEMALE||||||2177000-1_iso.gif|2177000-1_wire.gif
0-2272431-3|6|BLACK|022724313|2272431-3|gif|FEMALE|||68490873AA|||2272431-3_iso.gif|2272431-3_wire.gif
02513073186|2||02513073186|02513073186|GIF||Not Available||||||
025 545 04 26|2|NATURAL|0255450426|2141863910000|GIF|FEMALE||||||2141863910000_iso.gif|2-2138650-1_wire.gif
025 545 14 26|3|NATURAL|0255451426|2141864010000|GIF|FEMALE||||||2141864010000_iso.gif|2-2138651-1_wire.gif
0295455528|||0295455528||GIF||68052579AA||68052579AA||||
02984576|1|NA|02984576|02984576|gif|EYELET||||||02984576_iso.gif|
02R-JWPF-VKLE-S|||02RJWPFVKLES|||MALE|||||||
02RJWPFVSLES|2|NATURAL|02RJWPFVSLES|02R-JWPF-VSLE-S|gif|FEMALE|||68499229AA|||02R-JWPF-VSLE-S_iso.gif|02R-JWPF-VSLE-S_wire.gif
02SQMSGI0AK1|2|BLACK|02SQMSGI0AK1|02SQM-SGI-0A-K-1|gif|FEMALE|68001949AA|SQM SQUIB CONNECTOR Female ASSEMBLY|68001949AB|Un-Sealed||02SQM-SGI-0A-K-1_iso.gif|02SQM-SGI-0A-K-1_wire.gif
02SQM-SGI-0C-D-1|2|ORANGE|02SQMSGI0CD1|02SQMSGI0CD10000|GIF|FEMALE|Not Available|SQM SQUIB CONNECTOR Female ASSEMBLY|68001950AA|Sealed|||
02SQS2BG10ARK|||02SQS2BG10ARK||GIF||68001949AA||Not Available||||
02SQS2BG10CRD|||02SQS2BG10CRD||GIF||68001950AA||Not Available||||
